               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095545,            0.035898,            0.044428,             0.18198,             0.36774,             0.20776,            0.093607,            0.070077,            0.018338,            0.031436,              0.0757,              0.0027,              0.0027
                   1,            0.063894,              0.0288,            0.030652,             0.39747,             0.46115,             0.38896,             0.18596,            0.067085,            0.011387,            0.025377,            0.050228,           0.0052277,           0.0052277
                   2,            0.061037,            0.025705,            0.024428,             0.34153,             0.49807,              0.3467,             0.12381,            0.060615,            0.010732,            0.021585,            0.024478,           0.0074783,           0.0074783
                   3,            0.058602,            0.024325,            0.019158,             0.27704,             0.42554,             0.27587,             0.11947,            0.067776,            0.012249,            0.022807,            0.008515,            0.008515,            0.008515
                   4,            0.053994,            0.023525,            0.017672,             0.35952,             0.49072,              0.3848,             0.19036,            0.055987,            0.012874,            0.020646,            0.008515,            0.008515,            0.008515
                   5,            0.047518,            0.023017,            0.015416,             0.38788,             0.48758,             0.40144,             0.22246,            0.052968,            0.012595,            0.018614,             0.00802,             0.00802,             0.00802
                   6,            0.045563,            0.022257,            0.015621,             0.41357,             0.54765,             0.43366,             0.21631,            0.052628,            0.012933,            0.024762,            0.007525,            0.007525,            0.007525
                   7,            0.042899,             0.02225,            0.013622,             0.42065,             0.54013,             0.44993,             0.24736,            0.053127,            0.013067,            0.021562,             0.00703,             0.00703,             0.00703
                   8,            0.042146,              0.0218,            0.012991,             0.50111,              0.5592,             0.49765,              0.2875,            0.046055,            0.012835,            0.019177,            0.006535,            0.006535,            0.006535
                   9,            0.039708,            0.021389,            0.011113,             0.48582,             0.45063,             0.46005,             0.30313,            0.046157,            0.012199,            0.020375,             0.00604,             0.00604,             0.00604
                  10,            0.038985,            0.020449,            0.010162,             0.62765,             0.49355,             0.58155,             0.36455,            0.048561,             0.01174,            0.017464,            0.005545,            0.005545,            0.005545
                  11,            0.037459,            0.020815,           0.0096935,             0.64641,             0.51732,             0.59113,             0.38012,            0.049166,            0.011537,            0.019627,             0.00505,             0.00505,             0.00505
                  12,            0.036553,            0.019751,           0.0082386,             0.54069,             0.57108,             0.52412,             0.33793,            0.045991,            0.012514,            0.023665,            0.004555,            0.004555,            0.004555
                  13,             0.03427,            0.019135,           0.0085274,             0.59616,             0.56006,             0.54976,             0.36101,            0.045091,            0.012467,            0.019924,             0.00406,             0.00406,             0.00406
                  14,             0.03389,            0.019632,           0.0069352,              0.5816,             0.52166,             0.54167,             0.36183,            0.044511,            0.012552,             0.01896,            0.003565,            0.003565,            0.003565
                  15,            0.031737,            0.018596,           0.0066112,             0.72943,              0.4979,             0.60356,             0.40427,            0.043409,            0.012477,            0.014846,             0.00307,             0.00307,             0.00307
                  16,              0.0314,            0.018971,           0.0064778,             0.67164,             0.54403,             0.59325,             0.40776,            0.043572,            0.012825,            0.017758,            0.002575,            0.002575,            0.002575
                  17,            0.030592,            0.017708,           0.0057992,             0.72096,             0.55475,             0.61439,             0.43847,            0.043812,            0.012532,             0.01699,             0.00208,             0.00208,             0.00208
                  18,            0.029554,              0.0169,             0.00504,             0.65981,             0.63169,             0.64168,             0.45521,            0.043182,            0.012794,            0.016773,            0.001585,            0.001585,            0.001585
                  19,            0.027872,            0.017076,           0.0051204,             0.65886,             0.60043,             0.63138,             0.45381,            0.042555,            0.012251,            0.017073,             0.00109,             0.00109,             0.00109
